accession_num|name|date|url|img_urls
AKM622.8|Pen rest|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/pen-rest-akm622.8|https://www.agakhanmuseum.org/dataset-images/bzzjals8eib-68914380-da16-455e-8883-086d746715a6/AKM622.8_2021_HERO1.jpg
AKM622.7|Pot|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/pot|https://www.agakhanmuseum.org/dataset-images/bzzdazhk717-cb5f064e-b7a2-4932-931e-966ea2a69b11/AKM622.7_2021_HERO3.jpg
AKM622.6|Pen box and inkwell|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/pen-box-and-inkwell|https://www.agakhanmuseum.org/dataset-images/bzz79p2e5gb-e74a2520-31fd-451d-8890-e4e5117a39fd/AKM622.6_2021_HERO1.jpg
AKM622.5|Pen|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/pen|https://www.agakhanmuseum.org/dataset-images/bzz1w3m8m57-4d5e65cb-2f56-471f-aabf-5e9405c766a1/AKM622.5_2021_HERO1.jpg
AKM622.9|Pen rest|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/pen-rest-akm622.9-|https://www.agakhanmuseum.org/dataset-images/bzyjrqqt2hf-d3d07759-e0d7-42ee-b0c3-65ad87a0bedb/AKM622.9_2021_HERO1.jpg
AKM622.4|Ruler|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/ruler|https://www.agakhanmuseum.org/dataset-images/bzyla5lsebv-2e205d02-98c9-481c-9783-090a29b9f877/AKM622.4_2021_HERO1.jpg
AKM622.3|Scissors|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/scissors-akm622.3|https://www.agakhanmuseum.org/dataset-images/bzy4niez7jf-e211517e-9236-4452-a9a2-ec7130f2d2cb/AKM622.3_2021_HERO.jpg
AKM923|Hindola Raga|ca. 1725|https://www.agakhanmuseum.org/collection/artifact/hindola-raga|https://www.agakhanmuseum.org/dataset-images/bzxy8scenmz-cfe95727-f915-41b5-a92f-4e653661545f/AKM923_2021_HERO1.jpg
AKM986|Jug|first half of 13th century|https://www.agakhanmuseum.org/collection/artifact/jug|https://www.agakhanmuseum.org/dataset-images/bzx4nerjgar-27b676c7-634a-4596-8f79-580062c214f9/AKM986.1_2021_HERO1.jpg
AKM622.2|Scissors|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/scissors-akm622.2|https://www.agakhanmuseum.org/dataset-images/bzvy08vzg6j-35b547b7-77aa-460f-bd24-5b52403c3afc/AKM622.2_2021_HERO.jpg
AKM622.14|Wax|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/wax|https://www.agakhanmuseum.org/dataset-images/bzv3ygrj6b7-77cef600-00cc-41e0-a296-c129d2fd4df2/AKM622.14_2021_HERO1.jpg
